Title,Genre,Tags,Languages,Series or Movie,Hidden Gem Score,Runtime,View Rating,IMDb Score,Awards Received,Awards Nominated For,Release Date,Netflix Release Date,Korean content
Moxie,Drama,Comedies,English,Movie,8.1,1.5,13.0,6.3,0.0,4.0,2011-09-22 00:00:00.000000000,2021-03-04 00:00:00.000000000,False
Only a Mother,Drama,Dramas,Swedish,Movie,8.3,1.5,12.0,6.7,2.0,1.0,1949-10-31 00:00:00.000000000,2021-03-03 00:00:00.000000000,False
Snowroller,Comedy,Comedies,"Swedish, English, German, Norwegian",Movie,5.3,1.5,5.0,6.6,0.0,0.0,1985-10-04 00:00:00.000000000,2021-03-03 00:00:00.000000000,False
Sunes Summer,Comedy,Comedies,Swedish,Movie,7.5,1.5,13.0,5.5,0.0,7.0,2018-11-30 00:00:00.000000000,2021-03-03 00:00:00.000000000,False
The Invisible,Drama,Movies Based on Books,English,Movie,2.0,0.75,10.502906976744185,6.2,0.0,1.0,2007-04-27 00:00:00.000000000,2021-03-03 00:00:00.000000000,False
The Simple Minded Murderer,Drama,Dramas,"Scanian, Swedish",Movie,7.8,1.5,10.502906976744185,7.6,7.0,2.0,1985-09-01 00:00:00.000000000,2021-03-03 00:00:00.000000000,False
The Stig-Helmer Story,Drama,Comedies,"Swedish, English",Movie,6.4,1.5,10.502906976744185,4.5,0.0,1.0,2011-12-25 00:00:00.000000000,2021-03-03 00:00:00.000000000,False
To Kill a Child,Drama,Dramas,Spanish,Movie,8.8,1.5,10.502906976744185,7.7,2.0,5.0,2011-02-07 00:00:00.000000000,2021-03-03 00:00:00.000000000,False
Joker,Drama,Comedies,English,Movie,3.5,2.0,10.502906976744185,8.4,112.0,228.0,2019-10-04 00:00:00.000000000,2021-03-03 00:00:00.000000000,False
I,Action,Dramas,"English, Sanskrit",Movie,2.8,2.0,5.0,6.5,26.0,69.0,1999-05-19 00:00:00.000000000,2021-03-03 00:00:00.000000000,False
Harrys Daughters,Drama,Dramas,English,Movie,4.4,1.5,5.0,8.1,46.0,94.0,2011-07-15 00:00:00.000000000,2021-03-03 00:00:00.000000000,False
Gyllene Tider,Music,Music & Musicals,Swedish,Movie,8.8,2.0,5.0,7.7,0.0,0.0,2013-07-10 02:46:41.879537152,2021-03-03 00:00:00.000000000,False
False As Water,Drama,Dramas,Swedish,Movie,7.9,0.5,13.0,6.3,3.0,0.0,1985-11-08 00:00:00.000000000,2021-03-03 00:00:00.000000000,False
Bang!,Short,Dramas,English,Movie,7.7,2.0,12.0,5.6,0.0,0.0,2013-07-10 02:46:41.879537152,2021-03-03 00:00:00.000000000,False
A Guest Is Coming,Thriller,Crime Movies,Swedish,Movie,7.7,0.75,10.502906976744185,5.4,0.0,0.0,1947-11-03 00:00:00.000000000,2021-03-03 00:00:00.000000000,False
1939,Drama,Dramas,Swedish,Movie,7.6,1.5,10.502906976744185,5.5,0.0,0.0,1989-12-25 00:00:00.000000000,2021-03-03 00:00:00.000000000,False
Life and Nothing But,Drama,Dramas,French,Movie,8.2,1.5,13.0,7.4,9.0,14.0,1989-09-06 00:00:00.000000000,2021-03-01 00:00:00.000000000,False
Let Joy Reign Supreme,Drama,Dramas,"French, Breton",Movie,8.1,2.0,10.502906976744185,7.1,5.0,3.0,1975-03-26 00:00:00.000000000,2021-03-01 00:00:00.000000000,False
Coup de Torchon,Drama,Comedies,"French, English",Movie,6.4,0.5,10.502906976744185,7.5,2.0,11.0,1981-11-04 00:00:00.000000000,2021-03-01 00:00:00.000000000,False
Alice,Comedy,TV Dramas,"English, Cantonese",Series,3.5,1.5,12.0,6.6,1.0,7.0,1991-01-10 00:00:00.000000000,2021-03-01 00:00:00.000000000,True
The Girl on the Train,Drama,Crime Movies,"English, Spanish",Movie,2.6,2.0,12.0,6.5,4.0,12.0,2016-10-07 00:00:00.000000000,2021-02-27 00:00:00.000000000,False
Ginny & Georgia - The Afterparty,Animation,Comedies,English,Movie,7.6,1.5,10.502906976744185,5.3,0.0,0.0,2016-05-01 00:00:00.000000000,2021-02-27 00:00:00.000000000,False
Geez & Ann,Animation,Dramas,English,Movie,9.0,0.5,14.0,8.0,0.0,0.0,2012-06-22 00:00:00.000000000,2021-02-26 00:00:00.000000000,False
Made You Look: A True Story About Fake Art,Documentary,Crime Movies,English,Movie,8.4,0.5,14.0,7.0,0.0,0.0,2021-02-23 00:00:00.000000000,2021-02-23 00:00:00.000000000,False
Classmates Minus,Drama,Comedies,English,Movie,8.5,0.5,5.0,7.4,3.0,7.0,2021-02-20 00:00:00.000000000,2021-02-21 00:00:00.000000000,False
I Care a Lot,Comedy,Comedies,English,Movie,8.2,1.5,10.502906976744185,6.6,0.0,0.0,2021-02-19 00:00:00.000000000,2021-02-20 00:00:00.000000000,False
